Name,Description,Address,District,Hours,Rating,Phone1,Phone2,mail,Instagram,Twitter,Facebook,Longitude,Latitude,2GIS URL
Bibigon,кафе,"Массив Буюк Ипак Йули, 38",Мирзо-Улугбекский район,Пн: 09:00-23:00; Вт: 09:00-23:00; Ср: 09:00-23:00; Чт: 09:00-23:00; Пт: 09:00-23:00; Сб: 09:00-23:00; Вс: 09:00-23:00 (служба доставки: пн-вс 9:30-22:30),3.6,(99898) 300-7300,,bibigon.cafe.uz@gmail.com,https://instagram.com/bibigon_uz,,https://facebook.com/bibigoncafe,69.289807,41.311625,https://2gis.com/firm/70000001036308897
Alfa Bonjuk,кафе корейской кухни,"Сарабустон, 3/6",Яккасарайский район,Пн: 09:30-21:30; Вт: 09:30-21:30; Ср: 09:30-21:30; Чт: 09:30-21:30; Пт: 09:30-21:30; Сб: 09:30-21:30,5,(99890) 981-3029,(99890) 999-2458,,,,,69.264976,41.302042,https://2gis.com/firm/70000001036911119
Registan,арт-кафе,"Шарафа Рашидова проспект, 77а",Яккасарайский район,Пн: 10:00-23:00; Вт: 10:00-23:00; Ср: 10:00-23:00; Чт: 10:00-23:00; Пт: 10:00-23:00; Сб: 10:00-23:00; Вс: 10:00-23:00,3.7,(99871) 256-1636,,,https://instagram.com/registan.art.cafe.uz,,https://facebook.com/registanartcafe,69.267087,41.305974,https://2gis.com/firm/70000001041861693
Soul,кафе,"Буюк Ипак Йули, 152/1",Мирзо-Улугбекский район,Пн: 08:00-24:00; Вт: 08:00-24:00; Ср: 08:00-24:00; Чт: 08:00-24:00; Пт: 08:00-24:00; Сб: 08:00-24:00; Вс: 08:00-24:00,4.9,(99899) 060-6688,,,https://instagram.com/soulcafe_uz,,,69.337664,41.327042,https://2gis.com/firm/70000001053307473
Eco,кафе,"Олмачи 1-й проезд, 37",Мирзо-Улугбекский район,Пн: 09:00-22:00; Вт: 09:00-22:00; Ср: 09:00-22:00; Чт: 09:00-22:00; Пт: 09:00-22:00; Сб: 09:00-22:00; Вс: 09:00-22:00,5,(99894) 637-8337,,,https://instagram.com/ecocafetashkent,,,69.317019,41.318109,https://2gis.com/firm/70000001047902967
Miso,кафе,"Хусейна Байкары, 32а",Бектемирский район,Пн: 09:00-22:00; Вт: 09:00-22:00; Ср: 09:00-22:00; Чт: 09:00-22:00; Пт: 09:00-22:00; Сб: 09:00-22:00; Вс: 09:00-22:00,3.6,(99890) 188-6411,(99890) 167-3579,,https://instagram.com/banquet_hall_miso,,,69.341722,41.236063,https://2gis.com/firm/70000001050302478
Testo,сеть кафе,"Шота Руставели, 18",Яккасарайский район,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 09:00-23:00; Вс: 09:00-23:00,4.5,+998909331010 (единый номер: пн-вс 8:00-23:00),,yavtesto@gmail.com,https://instagram.com/yavtesto,https://twitter.com/testotoday,https://facebook.com/yavtesto,69.264349,41.293755,https://2gis.com/firm/70000001036752006
Registan Osh,центр плова,"Паркентское шоссе, 199",Мирзо-Улугбекский район,Пн: 11:30-20:00; Вт: 11:30-20:00; Ср: 11:30-20:00; Чт: 11:30-20:00; Пт: 11:30-20:00; Сб: 11:30-20:00 (прием заказов: пн-сб 9:00-14:00),4.7,(99871) 230-9888,(99898) 808-9888,,https://instagram.com/registanosh,,https://facebook.com/registanosh,69.329654,41.314577,https://2gis.com/firm/70000001062153343
Mandu манты,сеть кафе быстрого питания,"Массив Хадра, 7",Шайхантахурский район,Пн: 10:00-22:00; Вт: 10:00-22:00; Ср: 10:00-22:00; Чт: 10:00-22:00; Пт: 10:00-22:00; Сб: 10:00-22:00; Вс: 10:00-22:00,4.4,(99895) 479-5777,,,,,,69.246174,41.326034,https://2gis.com/firm/70000001057014585
Parvoz,банкетный зал,"Карасу, 15/2",Яшнабадский район,Пн: 09:00-22:00; Вт: 09:00-22:00; Ср: 09:00-22:00; Чт: 09:00-22:00; Пт: 09:00-22:00; Сб: 09:00-22:00; Вс: 09:00-22:00,5,(99890) 175-3442,(99890) 914-1991,,,,,69.338297,41.289922,https://2gis.com/firm/70000001064253610
Oblacko,лаундж-бар,"Фидокор, 10",Мирабадский район,Пн: 14:00-04:00; Вт: 14:00-04:00; Ср: 14:00-04:00; Чт: 14:00-04:00; Пт: 14:00-04:00; Сб: 14:00-04:00; Вс: 14:00-04:00,4.6,(99899) 798-8488,(99899) 798-8588,,https://instagram.com/oblacko_tashkent,,,69.278273,41.298509,https://2gis.com/firm/70000001040450175
